Loan ID,Loan Amount,Land Area,Crop,District,Existing Loan Boolean,Loan Tenure,Existing Loan Amount,Interest Rate,Amount to be Repaid,Year,expected_yield,Profit,family size,Net_Profit,Act_Profit,Verdict
48638,507899.06,16.67,groundnut,NIRMAL,FALSE,18,0,7.41,564352.0405,2022,36945.42716,1647594.965,7,1453316.475,888964.4348,Yes
39379,169602.715,4.85,groundnut,KOMARAM BHEEM ASIFABAD,FALSE,12,0,7.24,181881.9516,2022,9960.405972,429280.4792,3,422816.4553,240934.5037,Yes
54777,140858.76,1.83,chilli,VIKARABAD,TRUE,18,48050,7.08,155822.15,2022,4554.87,594048.012,6,579345.6114,375473.4614,Yes
38655,1732109.66,19.72,paddy,SURYAPET,TRUE,12,71963,7.48,1861671.34,2021,260008.2,1944988.53,4,1661491.971,-272142.369,No
13932,216285.33,10.7,bengal gram,WARANGAL,TRUE,12,6609,7.07,231576.7028,2020,8549.3,256334.55,4,256334.55,18148.8472,No
13932,216285.33,10.7,bengal gram,WARANGAL,TRUE,12,6609,7.07,231576.7028,2020,16221.2,620749.8,5,603674.82,365489.1172,Yes
13932,216285.33,10.7,bengal gram,WARANGAL,TRUE,12,6609,7.07,231576.7028,2020,16788.3,647687.05,7,627918.345,389732.6422,No
41106,1725380.92,17.36,paddy,KAMAREDDY,FALSE,18,0,7.1,1909143.27,2021,343866.88,3028688.096,3,2420081.667,510938.3972,Yes
36273,1781682.25,22.38,chilli,RANGAREDDY,FALSE,18,0,7.29,1976410.46,2022,28176.42,2981651.592,3,2387156.114,410745.6544,Yes
65758,41465.33,1.69,bengal gram,MEDAK,FALSE,18,0,7.41,46074.20143,2020,1791.4,61438.26,4,61438.26,15364.05857,No
65758,41465.33,1.69,bengal gram,MEDAK,FALSE,18,0,7.41,46074.20143,2020,1791.4,61438.26,5,61438.26,15364.05857,No
99824,921312.42,10.02,paddy,MAHABUBABAD,FALSE,18,0,7.32,1022537.12,2022,251902.8,2359860.3,4,1951902.21,929365.09,Yes
52263,39334.515,1.75,maize,BHADRADRI,FALSE,12,0,7.47,42272.80327,2020,8883,157590.23,4,157590.23,115317.4267,Yes
52263,39334.515,1.75,maize,BHADRADRI,FALSE,12,0,7.47,42272.80327,2020,8883,157590.23,3,157590.23,115317.4267,No
52542,1524098.18,15.7,paddy,RAJANNA SIRCILLA,TRUE,12,66222,7.34,1636015.19,2022,403521.4,3798613.43,4,2959029.401,1256792.211,Yes
